Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1286
af95efc9-5107-4e81-9027-b9f32acc1cce,,,Soins médicaux,Medical care,Soins médicaux,Medical care,Misc,N/A,
d5a1e9e9-19ed-4de5-8d35-2a79c2c41368,,,Dispensation ARV/MIO,Drug refill,Dispensation ARV/MIO,Drug refill,Misc,N/A,
c727623a-db37-4e74-a92a-272b8a8c15cb,,,Chirurgie,Surgery,Chirurgie,Surgery,Misc,N/A,
bddf8737-6336-435a-a74e-f4796c72a1e7,,,Santé Mentale,Mental care,Santé Mentale,Mental care,Misc,N/A,
499d2af6-9584-4951-beca-1205a46f5f8c,,c3891af4-6b78-40cf-918b-1e96b91b6397;b2a30389-b846-46bf-a4a8-76540a63b998;edc4a31a-1c07-49de-be03-84fad0a98812;cf63e617-c77d-41d8-b82e-f283d3438435;18351dd1-078e-456c-8c23-915b16e9dfaf;660ea197-9a4b-422e-9a74-ac2891b25b79;cffdc0e6-f67f-4462-a1cc-22ebfcaaffac;1f844cab-88b8-4b63-93de-574fcdf1d6cc;7fa40ca3-aadd-486a-9850-83ac0578236a;39b6808a-afef-43e6-8ab7-f790735b0ee8;af95efc9-5107-4e81-9027-b9f32acc1cce;d5a1e9e9-19ed-4de5-8d35-2a79c2c41368;c727623a-db37-4e74-a92a-272b8a8c15cb;bddf8737-6336-435a-a74e-f4796c72a1e7,Raison de la référence,Reasons of the referral,Raison de la référence,Reasons of the referral,Misc,Coded,
b1478864-fa8d-4c3c-8a45-7cbe97e1aa28,,,Médicaments,Medications,Médicaments,Medications,Misc,Text,
5a3087c6-45fb-4fec-8180-237f57cf7589,,,Note de référence,Referral note,Note de référence,Referral note,Misc,Text,
2584014b-8945-45c5-ad22-5b6250896c19,,,Nom du médicament,Medication Name,Nom du médicament,Medication Name,Misc,Text,
090a6e2f-63b9-436d-ae52-6aa691ffd032,,,Durée du traitement (Jours),Length of treatment (Days),Durée du traitement (Jours),Length of treatment (Days),Misc,Numeric,
42b6f7bb-1674-4019-ae57-baa4deb2b14f,2a535e68-abe9-4e8f-9789-cd51c1a823fc;d176a4fd-6a69-46ae-8166-9fa41a34b109;39296a1c-bd96-404e-976a-5186da7c4690;49b27fa1-200e-4fed-afca-310adb17b7ad;0520c8b3-831c-4aa3-9d6d-b57d43166c9b;3445288c-5ad0-4690-8dee-f61bad3a9668;5e60d34e-9d10-4948-b470-af98f27ab7d6;499d2af6-9584-4951-beca-1205a46f5f8c;dd5ecb2b-7c64-4db6-9584-c86f375a6bbe;b1478864-fa8d-4c3c-8a45-7cbe97e1aa28;5a3087c6-45fb-4fec-8180-237f57cf7589;2584014b-8945-45c5-ad22-5b6250896c19;090a6e2f-63b9-436d-ae52-6aa691ffd032,,Recevoir,Receiving,Recevoir,Receiving,Misc,Coded,
c6d7b150-5a1e-40fb-9f03-3eccd41b5563,42b6f7bb-1674-4019-ae57-baa4deb2b14f,,Référé à,Referred to,Référé à,Referred to,Misc,Coded,
85a8b82f-7ec0-4d57-86a2-e487e875a7a2,c5b20e93-56c8-45e5-b65b-2b42ee49ecb0;dcf76d37-01f9-496c-a652-fe6f94f1290a;cb654311-dac9-45e0-afc0-3c78ed432ea1;57a5de55-acf0-4695-bbc2-a2acc1721de7;2c45dfd3-5942-4b92-b440-e7dba02624df;982f8e67-f28c-444a-a739-d9f4051f96fc;c374dcb3-3382-4aa1-9dcd-e24f24e28312;cc240282-f630-4659-b1b9-de8afbc6bac3;fd3d9d21-5a19-45f2-8fbe-9006de87643b;ef48927b-2f83-4080-b05f-e0a5f5075b53;ec35e72a-a2f4-43e0-bc8d-04909928b306;238b6680-b1b8-4cb8-ad5b-aac7b4799b7d;a39acdbf-02f1-4bad-ab30-805e40e3e7ae;0ac1c489-0b25-4848-8d76-801c77ca2717;38726d8e-8c02-4a07-b9fe-14b639c2f247;1806efcc-ca31-430a-8ac9-0bb01bbff2b5;c6d7b150-5a1e-40fb-9f03-3eccd41b5563,,Formulaire de référence des patients,Referral form,Formulaire de référence des patients,Referral form,Misc,Coded,

